tube,cell0 (#/mL),cell2 (#/mL),cell5 (#/mL),toc0 (ug/mL),toc5 (ug/mL),delta TCC (#/mL),delta TOC (ug/mL),Y (#/ug),init RC (ug-TOC/cell)
aM2,5.0E+04,1.8E+05,6.0E+05,4,3.8,5.5E+05,0.2,2.8E+06,8.0E-05
bM2,4.3E+04,1.1E+05,5.7E+05,4,3.7,5.3E+05,0.3,1.8E+06,9.2E-05
cM2,7.2E+04,1.2E+05,7.8E+05,4,3.7,7.1E+05,0.3,2.4E+06,5.6E-05
aW1,1.4E+05,1.8E+05,1.0E+06,2.5,2.2,8.9E+05,0.3,3.0E+06,1.8E-05
bW1,1.2E+05,1.7E+05,5.5E+05,2.5,2.3,4.3E+05,0.2,2.1E+06,2.1E-05
cW1,1.3E+05,1.9E+05,1.0E+06,2.5,2.2,8.7E+05,0.3,2.9E+06,1.9E-05
aW2,4.6E+04,7.8E+04,3.0E+05,1.9,1.5,2.5E+05,0.4,6.2E+05,4.2E-05
bW2,4.4E+04,7.9E+04,5.2E+05,1.9,1.5,4.7E+05,0.4,1.2E+06,4.3E-05
cW2,1.2E+04,4.3E+04,3.4E+05,1.9,1.4,3.3E+05,0.5,6.6E+05,1.6E-04
aW3,4.5E+05,5.0E+05,5.9E+05,1.1,1.1,1.4E+05,0,0.0E+00,2.4E-06
bW3,4.4E+05,4.5E+05,5.6E+05,1.1,1.1,1.2E+05,0,0.0E+00,2.5E-06
cW3,2.4E+05,2.6E+05,5.4E+05,1.1,1.1,2.9E+05,0,0.0E+00,4.5E-06
aM3,7.4E+04,8.6E+04,3.2E+05,1.2,1.1,2.5E+05,0.1,2.5E+06,1.6E-05
bM3,3.6E+05,3.7E+05,6.3E+05,1.2,1,2.7E+05,0.2,1.3E+06,3.3E-06
cM3,4.9E+05,5.3E+05,3.8E+05,1.2,1.1,-1.1E+05,0.1,0.0E+00,2.4E-06
