tube,cell0 (#/mL),cell1 (#/mL),cell2 (#/mL),cell5 (#/mL),cell7 (#/mL),cell9 (#/mL),toc0 (ug/mL),toc9 (ug/mL),delta TCC (#/mL),end TCC (#/mL),delta TOC (ug/mL),Y (#/ug),init RC (ug-TOC/cell)
aA5,87490,53010,107360,1194670,1383800,1466100,6,5.1,1378610,1466100,0.9,1531788.889,6.86E-05
bA5,54490,53400,100140,532810,507010,601400,6,5.4,546910,601400,0.6,911516.6667,0.000110112
cA5,142510,33200,115990,1019660,1171560,928100,6,5.3,785590,928100,0.7,1122271.429,4.21E-05
aA4,37890,23360,212400,1512890,1860740,2106500,6,5.6,2068610,2106500,0.4,5171525,0.000158353
bA4,137320,29380,173320,1262320,1620840,1919200,6,5.4,1781880,1919200,0.6,2969800,4.37E-05
cA4,26880,330,173270,860340,1258670,1600300,6,5.4,1573420,1600300,0.6,2622366.667,0.000223214
aA3,865610,21300,357500,1606200,2125900,2359000,6,5.6,1493390,2359000,0.4,3733475,6.93E-06
bA3,539620,24970,233120,1384500,1452700,1748600,6,5.4,1208980,1748600,0.6,2014966.667,1.11E-05
cA3,461350,22760,372670,1388500,2028500,1989900,6,6.5,1528550,1989900,-0.5,0,1.30E-05
aA2,5864900,62000,626600,1693200,1203800,445500,6,5.5,-5419400,445500,0.5,0,1.02E-06
bA2,9379800,960000,505300,1192900,703200,325700,6,5.3,-9054100,325700,0.7,0,6.40E-07
cA2,2428200,35000,462500,1205800,1033100,485700,6,5.4,-1942500,485700,0.6,0,2.47E-06
aA1,21269000,5350000,767400,787900,567500,1026000,6,5.7,-20243000,1026000,0.3,0,2.82E-07
bA1,24076000,1920000,692000,653500,466300,740600,6,5.5,-23335400,740600,0.5,0,2.49E-07
cA1,17829000,330000,827500,856800,678000,747500,6,5.5,-17081500,747500,0.5,0,3.37E-07
aB5,260540,217380,202240,823610,947100,1181700,1.2,0.8,921160,1181700,0.4,2302900,4.61E-06
bB5,186150,117110,185850,1105530,1295300,946500,1.2,0.8,760350,946500,0.4,1900875,6.45E-06
cB5,161110,2320,129770,740650,744960,706900,1.2,0.7,545790,706900,0.5,1091580,7.45E-06
aB4,189980,143860,444510,857590,900250,804500,1.2,0.8,614520,804500,0.4,1536300,6.32E-06
bB4,638500,196020,510980,665360,1142950,1193700,1.2,0.7,555200,1193700,0.5,1110400,1.88E-06
cB4,160690,59730,362020,808850,779830,795400,1.2,0.8,634710,795400,0.4,1586775,7.47E-06
aB3,774340,109900,457530,678390,751650,521800,1.2,0.8,-252540,521800,0.4,0,1.55E-06
bB3,873430,123930,231140,790670,916910,848800,1.2,0.7,-24630,848800,0.5,0,1.37E-06
cB3,969800,164770,685350,614440,401510,381500,1.2,0.7,-588300,381500,0.5,0,1.24E-06
aB2,5323600,732000,564000,681400,445500,409700,1.2,0.8,-4913900,409700,0.4,0,2.25E-07
bB2,1979500,3328000,541100,527400,512600,336300,1.2,0.8,-1643200,336300,0.4,0,6.06E-07
cB2,4010800,2832000,472200,682400,484900,307500,1.2,0.6,-3703300,307500,0.6,0,2.99E-07
aB1,22988000,2130000,1045700,459000,370700,410500,1.2,0.7,-22577500,410500,0.5,0,5.22E-08
bB1,12666000,4500000,1052900,582300,518900,434500,1.2,0.7,-12231500,434500,0.5,0,9.47E-08
cB1,19081000,19880000,1046000,337500,403200,477000,1.2,0.6,-18604000,477000,0.6,0,6.29E-08
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,10,,,,,,,,,
