Experiment Name:,20200624_RC_h00,,,,,,,,,
,,,,,,,,,,
Tube Name:,Sample ID:,Volume(μL):,All Events ,P3 Events,All Events  % Total,P3 % Total,All Events  % Parent,P3 % Parent,All Events  Events/μL(V),P3 Events/μL(V)
aN,,120,9338,2981,100.00%,31.92%,100.00%,31.92%,77.82,24.84
bN,,120,25317,1899,100.00%,7.50%,100.00%,7.50%,210.98,15.83
cN,,120,33886,2072,100.00%,6.11%,100.00%,6.11%,282.4,17.27
A,,120,27833,2924,100.00%,10.51%,100.00%,10.51%,231.95,24.37
P,,120,39883,20141,100.00%,50.50%,100.00%,50.50%,332.37,167.85
F,,120,12633,611,100.00%,4.84%,100.00%,4.84%,105.28,5.09
aA5,,120,37239,10498,100.00%,28.19%,100.00%,28.19%,310.34,87.49
bA5,,120,84641,6539,100.00%,7.73%,100.00%,7.73%,705.35,54.49
cA5,,120,65677,17101,100.00%,26.04%,100.00%,26.04%,547.31,142.51
aA4,,120,16950,4547,100.00%,26.83%,100.00%,26.83%,141.25,37.89
bA4,,120,54599,16478,100.00%,30.18%,100.00%,30.18%,454.99,137.32
cA4,,120,9761,3226,100.00%,33.05%,100.00%,33.05%,81.34,26.88
aA3,,120,193031,103872,100.00%,53.81%,100.00%,53.81%,1608.6,865.61
bA3,,120,171440,64754,100.00%,37.77%,100.00%,37.77%,1428.67,539.62
cA3,,120,154630,55362,100.00%,35.80%,100.00%,35.80%,1288.59,461.35
aA2,,120,169921,70379,100.00%,41.42%,100.00%,41.42%,1416.01,586.49
bA2,,120,309421,112557,100.00%,36.38%,100.00%,36.38%,2578.51,937.98
cA2,,120,71744,29138,100.00%,40.61%,100.00%,40.61%,597.87,242.82
aA1,,120,128156,25523,100.00%,19.92%,100.00%,19.92%,1067.97,212.69
bA1,,120,133436,28891,100.00%,21.65%,100.00%,21.65%,1111.97,240.76
cA1,,120,92947,21395,100.00%,23.02%,100.00%,23.02%,774.56,178.29
aB5,,120,59495,31265,100.00%,52.55%,100.00%,52.55%,495.8,260.54
bB5,,120,62991,22337,100.00%,35.46%,100.00%,35.46%,524.94,186.15
cB5,,120,58079,19333,100.00%,33.29%,100.00%,33.29%,483.99,161.11
aB4,,120,31362,22795,100.00%,72.68%,100.00%,72.68%,261.38,189.98
bB4,,120,129419,76620,100.00%,59.20%,100.00%,59.20%,1078.49,638.5
cB4,,120,28417,19282,100.00%,67.85%,100.00%,67.85%,236.81,160.69
aB3,,120,244007,92921,100.00%,38.08%,100.00%,38.08%,2033.39,774.34
bB3,,120,276195,104811,100.00%,37.95%,100.00%,37.95%,2301.63,873.43
cB3,,120,301802,116376,100.00%,38.56%,100.00%,38.56%,2515.02,969.8
aB2,,120,219515,63883,100.00%,29.10%,100.00%,29.10%,1829.3,532.36
bB2,,120,75712,23754,100.00%,31.37%,100.00%,31.37%,630.94,197.95
cB2,,120,207035,48129,100.00%,23.25%,100.00%,23.25%,1725.3,401.08
aB1,,120,113843,27586,100.00%,24.23%,100.00%,24.23%,948.69,229.88
bB1,,120,57803,15199,100.00%,26.29%,100.00%,26.29%,481.69,126.66
cB1,,120,86442,22896,100.00%,26.49%,100.00%,26.49%,720.37,190.81
aP,,120,42895,25317,100.00%,59.02%,100.00%,59.02%,357.46,210.98
bP,,120,42643,23250,100.00%,54.52%,100.00%,54.52%,355.36,193.75
cP,,120,38213,17062,100.00%,44.65%,100.00%,44.65%,318.44,142.18
