tube,cell0 (#/mL),cell2 (#/mL),cell5 (#/mL),cell7 (#/mL),toc0 (ug/mL),acetate (ug/mL),toc0 (ug/mL),toc7 (ug/mL),delta TCC (#/mL),end TCC (#/mL),delta TOC (ug/mL),Y (#/ug),init RC (ug-TOC/cell)
aM2,20220,203700,922400,1125400,5.9,0,5.9,6.9,1105180,1125400,-1,0,0.00029179
bM2,44830,360200,1096500,1357600,5.9,0,5.9,6.9,1312770,1357600,-1,0,0.000131608
cM2,45950,244700,678000,818600,5.9,0,5.9,6.9,772650,818600,-1,0,0.0001284
aM3,154870,228300,421400,826700,1.6,0,1.6,1.6,671830,826700,0,0,1.03312E-05
bM3,117520,267500,475800,814400,1.6,0,1.6,1.5,696880,814400,0.1,6968800,1.36147E-05
cM3,96970,250200,422200,833900,1.6,0,1.6,1.6,736930,833900,0,0,1.64999E-05
aM3x,20720,708200,837800,1330800,1.6,0.5,2.1,1.7,1310080,1330800,0.4,3275200,0.000101351
bM3x,64390,733800,1023700,1112400,1.6,0.5,2.1,1.7,1048010,1112400,0.4,2620025,3.26138E-05
cM3x,35350,574800,613700,2418000,1.6,0.5,2.1,2.1,2382650,2418000,0,0,5.94059E-05
aM23,14850,400000,835500,2729700,5.9,0,5.9,6.7,2714850,2729700,-0.8,0,0.000397306
bM23,11780,500400,1138300,3800,5.9,0,5.9,6.9,-7980,3800,-1,0,0.000500849
cM23,4920,417700,1364000,1703200,5.9,0,5.9,6.8,1698280,1703200,-0.9,0,0.001199187
aM32,69530,254400,636500,788200,1.6,0,1.6,1.9,718670,788200,-0.3,0,2.30116E-05
bM32,15100,116000,461500,701300,1.6,0,1.6,1.7,686200,701300,-0.1,0,0.00010596
cM32,77490,171700,476000,815800,1.6,0,1.6,1.5,738310,815800,0.1,7383100,2.06478E-05
aH,1345000,1305800,453200,1778000,1.6,0,2.1,1.6,433000,1778000,0.5,866000,1.56134E-06
bH,1202000,1239200,466500,385200,1.6,0,2.1,1.6,-816800,385200,0.5,0,1.74709E-06
cH,1270000,1207300,447500,421800,1.6,0,2.1,1.6,-848200,421800,0.5,0,1.65354E-06
aH0,1362000,1365200,367400,367700,1.6,0.5,2.1,1.8,-994300,367700,0.3,0,1.54185E-06
bH0,995000,1562500,427000,478200,1.6,0.5,2.1,1.8,-516800,478200,0.3,0,2.11055E-06
cH0,1060000,1932800,373400,454900,1.6,0.5,2.1,1.6,-605100,454900,0.5,0,1.98113E-06
aH1,985000,1292400,433800,440200,1.6,1,2.6,1.6,-544800,440200,1,0,2.63959E-06
bH1,4067000,2248400,483500,610500,1.6,1,2.6,1.7,-3456500,610500,0.9,0,6.39292E-07
cH1,1072000,2506400,570400,761100,1.6,1,2.6,1.8,-310900,761100,0.8,0,2.42537E-06
aH5,1142000,3556000,882900,13700,1.6,5,6.6,1.8,-1128300,13700,4.8,0,5.77933E-06
bH5,1263000,2639000,876500,1455200,1.6,5,6.6,2.1,192200,1455200,4.5,42711.11111,5.22565E-06
cH5,1087000,3145700,890500,1001900,1.6,5,6.6,2,-85100,1001900,4.6,0,6.07176E-06
aH10,1205000,5423300,1239300,1825700,1.6,10,11.6,2.9,620700,1825700,8.7,71344.82759,9.62656E-06
bH10,1163000,6722500,829500,1378700,1.6,10,11.6,2.7,215700,1378700,8.9,24235.95506,9.9742E-06
cH10,1093000,5634200,1011000,1318200,1.6,10,11.6,2.8,225200,1318200,8.8,25590.90909,1.0613E-05
