tube,cell0 (#/mL),delta TCC (#/mL),end TCC (#/mL),init RC (ug-TOC/cell)
aM23,14850,2714850,2729700,0.000397306
bM23,11780,-7980,3800,0.000500849
cM23,4920,1698280,1703200,0.001199187
aM2,20220,1105180,1125400,0.00029179
bM2,44830,1312770,1357600,0.000131608
cM2,45950,772650,818600,0.0001284
aA4,37890,2068610,2106500,0.000158353
bA4,137320,1781880,1919200,4.36936E-05
cA4,26880,1573420,1600300,0.000223214
aM2,49750,550920,600670,8.0402E-05
bM2,43417,525253,568670,9.21298E-05
cM2,71617,705383,777000,5.58527E-05
aM32,69530,718670,788200,0.000023
bM32,15100,686200,701300,0.00010596
cM32,77490,738310,815800,0.0000206
aM3,154870,671830,826700,0.0000103
bM3,117520,696880,814400,0.0000136
cM3,96970,736930,833900,0.0000165
aB4,189980,614520,804500,6.32E-06
bB4,638500,555200,1193700,1.88E-06
cB4,160690,634710,795400,7.47E-06
aM3,74267,246233,320500,1.62E-05
bM3,363967,266203,630170,3.30E-06
cM3,492333,-113333,379000,2.44E-06
