Experiment Name:;20200720_EX3_h120

Tube Name:;Sample ID:;Volume(μL):;All Events ;P3 Events;All Events  % Total;P3 % Total;All Events  % Parent;P3 % Parent;All Events  Events/μL(V);P3 Events/μL(V)
aN;;60.0;36754;35536;100.00%;96.69%;100.00%;96.69%;612.57;592.27
bN;;60.0;32938;30107;100.00%;91.41%;100.00%;91.41%;548.97;501.79
cN;;60.0;38106;34968;100.00%;91.77%;100.00%;91.77%;635.11;582.81
aM2;;60.0;9830;5534;100.00%;56.30%;100.00%;56.30%;163.84;92.24
bM2;;60.0;10572;6579;100.00%;62.23%;100.00%;62.23%;176.21;109.65
cM2;;60.0;8254;4068;100.00%;49.29%;100.00%;49.29%;137.57;67.80
aM3;;60.0;7216;2528;100.00%;35.03%;100.00%;35.03%;120.28;42.14
bM3;;60.0;8614;2855;100.00%;33.14%;100.00%;33.14%;143.57;47.58
cM3;;60.0;8165;2533;100.00%;31.02%;100.00%;31.02%;136.10;42.22
aM3x;;60.0;8904;5027;100.00%;56.46%;100.00%;56.46%;148.40;83.78
bM3x;;60.0;9806;6142;100.00%;62.64%;100.00%;62.64%;163.43;102.37
cM3x;;60.0;8343;3682;100.00%;44.13%;100.00%;44.13%;139.05;61.37
aM23;;60.0;8764;5013;100.00%;57.20%;100.00%;57.20%;146.07;83.55
bM23;;60.0;11017;6829;100.00%;61.99%;100.00%;61.99%;183.64;113.83
cM23;;60.0;11209;8184;100.00%;73.01%;100.00%;73.01%;186.82;136.40
aM32;;60.0;7777;3819;100.00%;49.11%;100.00%;49.11%;129.62;63.65
bM32;;60.0;7445;2769;100.00%;37.19%;100.00%;37.19%;124.08;46.15
cM32;;60.0;8832;2856;100.00%;32.34%;100.00%;32.34%;147.20;47.60
aH;;60.0;6943;2719;100.00%;39.16%;100.00%;39.16%;115.72;45.32
bH;;60.0;8000;2799;100.00%;34.99%;100.00%;34.99%;133.34;46.65
cH;;60.0;8699;2685;100.00%;30.87%;100.00%;30.87%;144.99;44.75
aH0;;60.0;10512;2204;100.00%;20.97%;100.00%;20.97%;175.21;36.74
bH0;;60.0;11057;2562;100.00%;23.17%;100.00%;23.17%;184.29;42.70
cH0;;60.0;13137;2240;100.00%;17.05%;100.00%;17.05%;218.97;37.34
aH1;;60.0;11839;2603;100.00%;21.99%;100.00%;21.99%;197.32;43.38
bH1;;60.0;10234;2901;100.00%;28.35%;100.00%;28.35%;170.57;48.35
cH1;;60.0;12609;3422;100.00%;27.14%;100.00%;27.14%;210.18;57.04
aH5;;60.0;13280;5297;100.00%;39.89%;100.00%;39.89%;221.34;88.29
bH5;;60.0;14419;5259;100.00%;36.47%;100.00%;36.47%;240.32;87.65
cH5;;60.0;22611;5343;100.00%;23.63%;100.00%;23.63%;376.85;89.05
aH10;;60.0;21978;7436;100.00%;33.83%;100.00%;33.83%;366.30;123.93
bH10;;60.0;30658;4977;100.00%;16.23%;100.00%;16.23%;510.97;82.95
cH10;;60.0;32344;6066;100.00%;18.75%;100.00%;18.75%;539.07;101.10
aP;;60.0;27116;7125;100.00%;26.28%;100.00%;26.28%;451.93;118.75
bP;;60.0;26805;8342;100.00%;31.12%;100.00%;31.12%;446.77;139.04
cP;;60.0;19635;6618;100.00%;33.71%;100.00%;33.71%;327.25;110.30
